"VelocidadViento","Humedad","Temperatura","DíaFestivo","DíaSemana","DíaNoLaborable","Estación","Clima","Fecha","Año","Mes","Hora","Total"
0.1642,0.61,0.66,0,2,1,2,1,"2012-05-01",1,5,20,342
0.1642,0.94,0.62,0,6,0,3,3,"2012-08-18",1,8,1,97
0.3284,0.37,0.4,0,6,0,1,1,"2011-03-19",0,3,22,76
0.194,0.24,0.9,0,2,1,3,2,"2012-07-03",1,7,16,531
0.2239,0.94,0.66,0,4,1,3,2,"2011-09-08",0,9,12,106
0.1343,0.58,0.44,0,2,1,2,1,"2011-05-10",0,5,2,9
0.1642,0.38,0.46,0,6,0,4,1,"2012-10-13",1,10,17,532
0.0896,0.89,0.68,0,3,1,3,2,"2011-08-03",0,8,23,58
0.2537,0.51,0.74,0,1,1,3,2,"2012-07-02",1,7,2,18
0.5821,0.32,0.22,0,2,1,1,1,"2011-02-08",0,2,17,177
0.2239,0.49,0.54,0,1,1,4,1,"2012-09-24",1,9,10,206
0.4179,0.39,0.32,0,4,1,4,1,"2011-11-17",0,11,16,199
0,0.88,0.62,0,6,0,4,1,"2011-09-24",0,9,19,313
0.0896,0.75,0.22,0,6,0,4,1,"2011-12-03",0,12,7,31
0.194,0.82,0.46,0,5,1,2,1,"2012-04-20",1,4,1,29
0.2985,0.47,0.16,0,3,1,1,1,"2012-01-18",1,1,23,46
0.4925,0.47,0.44,0,5,1,2,1,"2012-04-27",1,4,3,4
0.1045,0.94,0.64,0,4,1,3,3,"2011-09-08",0,9,21,86
0.1642,0.5,0.4,0,4,1,4,2,"2012-11-01",1,11,19,458
0.194,0.53,0.08,0,0,0,1,1,"2011-01-09",0,1,7,14
0.2836,0.39,0.34,0,6,0,1,1,"2011-12-24",0,12,12,101
0.1642,0.54,0.72,0,3,1,2,1,"2012-05-30",1,5,19,556
0,0.44,0.24,0,2,1,1,1,"2012-03-06",1,3,10,131
0.1343,0.53,0.36,0,5,1,1,2,"2011-12-30",0,12,13,209
0.1045,0.82,0.46,0,0,0,2,1,"2011-05-01",0,5,11,252
0.194,0.46,0.78,0,5,1,3,1,"2012-07-13",1,7,18,635
0.194,0.54,0.42,0,0,0,1,1,"2011-02-27",0,2,17,190
0.2239,0.94,0.52,0,6,0,2,3,"2012-03-24",1,3,12,189
0.194,0.55,0.5,0,1,1,4,1,"2012-09-24",1,9,8,755
0.2836,0.88,0.5,0,5,1,1,3,"2012-01-27",1,1,9,110
0.2537,0.66,0.74,0,3,1,3,1,"2012-08-01",1,8,19,658
0.4925,0.5,0.12,0,6,0,1,3,"2012-02-11",1,2,23,25
0.2537,0.6,0.26,0,1,1,1,1,"2012-02-27",1,2,0,31
0.1045,0.55,0.5,0,1,1,2,2,"2011-04-18",0,4,9,175
0.1045,0.59,0.16,0,2,1,1,1,"2012-03-06",1,3,8,501
0.3284,0.88,0.54,0,3,1,4,2,"2011-10-12",0,10,5,26
0.0896,0.49,0.54,0,1,1,4,1,"2011-11-07",0,11,13,191
0.3284,0.84,0.7,0,6,0,3,2,"2011-08-06",0,8,21,118
0.1343,0.93,0.36,0,2,1,4,1,"2012-12-18",1,12,7,360
0,1,0.32,0,5,1,1,2,"2011-02-25",0,2,1,16
0.3582,0.94,0.5,0,3,1,4,3,"2011-11-23",0,11,2,9
0,1,0.32,0,5,1,1,2,"2011-02-25",0,2,2,7
0.194,0.94,0.64,0,0,0,3,3,"2011-08-14",0,8,4,9
0,0.79,0.72,0,0,0,3,2,"2012-07-15",1,7,9,226
0,0.68,0.5,0,3,1,2,1,"2012-06-06",1,6,2,16
0,0.39,0.32,0,3,1,2,1,"2011-03-30",0,3,1,17
0.1343,0.88,0.6,0,3,1,3,3,"2011-09-07",0,9,10,70
0.2836,0.36,0.3,0,0,0,1,2,"2012-02-19",1,2,2,48
0.5224,0.43,0.6,0,6,0,4,1,"2012-10-06",1,10,16,664
0,0.83,0.64,0,6,0,3,1,"2012-06-23",1,6,0,120
0,0.7,0.74,0,0,0,3,1,"2012-07-01",1,7,7,54
0,0.3,0.74,0,4,1,2,1,"2012-06-07",1,6,15,340
0.3881,0.69,0.62,0,0,0,3,1,"2011-09-11",0,9,22,95
0.2985,0.33,0.44,0,5,1,4,2,"2011-12-16",0,12,6,86
0.1642,0.45,0.3,0,0,0,1,1,"2012-12-23",1,12,18,95
0.2537,0.42,0.7,0,5,1,2,1,"2012-06-08",1,6,11,266
0.3284,0.94,0.4,0,0,0,2,2,"2012-03-25",1,3,8,93
0.194,0.31,0.32,0,6,0,1,1,"2012-01-28",1,1,23,88
0,0.83,0.58,0,1,1,2,1,"2011-05-16",0,5,20,203
0.1642,0.58,0.7,0,4,1,3,2,"2012-08-09",1,8,21,340
0.1045,0.78,0.64,0,3,1,3,1,"2012-08-15",1,8,5,43
0.1343,0.69,0.14,0,3,1,1,1,"2011-01-12",0,1,7,60
0.2239,0.55,0.74,0,3,1,3,3,"2012-08-22",1,8,16,465
0.1045,0.94,0.56,0,5,1,2,1,"2011-06-17",0,6,2,19
0.1045,0.75,0.24,0,5,1,4,1,"2012-11-23",1,11,4,5
0.1045,0.55,0.22,0,0,0,4,1,"2011-12-18",0,12,2,47
0.1642,0.89,0.64,0,6,0,3,1,"2012-06-30",1,6,9,276
0.1642,0.74,0.68,1,1,0,3,3,"2011-09-05",0,9,9,154
0.194,0.66,0.76,0,5,1,3,2,"2012-08-03",1,8,21,281
0.2836,0.74,0.68,0,3,1,2,1,"2011-04-27",0,4,14,149
0.1642,0.78,0.66,0,3,1,4,1,"2012-10-03",1,10,10,181
0.1343,0.46,0.8,1,1,0,3,1,"2011-07-04",0,7,18,423
0.2537,0.73,0.62,0,1,1,2,2,"2012-05-14",1,5,14,174
0.2985,0.41,0.82,0,6,0,3,1,"2011-07-30",0,7,10,266
0.2836,0.65,0.24,0,3,1,4,1,"2012-11-14",1,11,7,421
0.194,0.62,0.76,0,1,1,3,1,"2012-07-23",1,7,21,297
0.0896,0.54,0.12,0,1,1,1,1,"2012-02-13",1,2,4,7
0.1642,0.84,0.72,0,3,1,3,1,"2012-09-05",1,9,20,417
0.2239,0.83,0.64,0,0,0,2,1,"2011-05-29",0,5,0,86
0.1045,0.66,0.78,0,0,0,3,1,"2011-07-24",0,7,1,99
0.1343,0.8,0.14,0,4,1,1,3,"2011-02-10",0,2,1,12
0.2985,0.88,0.56,0,1,1,2,3,"2012-05-21",1,5,7,157
0.2836,0.6,0.58,1,1,0,4,1,"2012-11-12",1,11,14,452
0.1045,0.94,0.54,0,3,1,4,3,"2011-10-12",0,10,20,94
0,0.35,0.76,0,6,0,2,1,"2012-06-09",1,6,11,573
0.2239,0.59,0.78,0,3,1,3,1,"2011-07-06",0,7,17,602
0.3284,0.56,0.54,0,2,1,2,1,"2011-06-14",0,6,5,34
0.1642,0.48,0.74,0,4,1,3,1,"2012-07-12",1,7,10,219
0.0896,0.36,0.8,0,1,1,3,1,"2012-08-13",1,8,16,470
0.1045,0.26,0.56,0,2,1,2,1,"2012-04-03",1,4,19,558
0.3284,0.62,0.76,0,4,1,3,1,"2011-08-04",0,8,16,292
0.2537,0.66,0.74,0,0,0,2,1,"2012-05-27",1,5,12,578
0.194,0.75,0.24,0,5,1,1,1,"2011-01-28",0,1,18,112
0.1642,0.36,0.3,0,5,1,4,1,"2011-11-18",0,11,18,330
0.3284,0.94,0.46,0,0,0,1,2,"2011-03-06",0,3,12,87
0.194,1,0.32,0,6,0,2,2,"2011-04-23",0,4,0,22
0.2239,0.72,0.46,0,5,1,2,1,"2011-05-06",0,5,22,153
0.1045,0.83,0.64,0,3,1,3,1,"2012-08-01",1,8,3,7
0.2985,0.48,0.74,0,4,1,2,1,"2012-06-14",1,6,15,326
0.3881,0.49,0.1,0,0,0,1,1,"2012-02-12",1,2,6,6
0,0.88,0.62,0,1,1,3,1,"2012-08-27",1,8,6,148
0,0.71,0.36,0,5,1,2,1,"2012-03-30",1,3,23,128
0,0.78,0.62,0,3,1,3,1,"2012-08-22",1,8,3,13
0.1642,0.71,0.4,0,2,1,4,2,"2012-11-20",1,11,17,593
0.2836,0.65,0.24,0,3,1,1,1,"2011-03-02",0,3,8,260
0,0.94,0.58,0,6,0,4,1,"2011-09-24",0,9,3,35
0,0.94,0.46,0,4,1,4,1,"2011-10-27",0,10,0,28
0.2836,0.4,0.38,0,5,1,4,1,"2011-12-02",0,12,20,196
0.1642,0.87,0.32,0,2,1,1,2,"2011-03-15",0,3,22,27
0.1045,0.51,0.2,0,2,1,1,2,"2011-01-11",0,1,12,64
0.2836,0.44,0.46,0,3,1,1,2,"2012-02-22",1,2,19,331
0.2537,0.5,0.14,0,1,1,1,1,"2011-01-24",0,1,17,189
0.1343,1,0.62,0,5,1,3,2,"2011-09-09",0,9,6,59
0.1045,0.7,0.72,0,4,1,3,1,"2012-07-19",1,7,4,14
0.2537,0.66,0.38,0,4,1,1,1,"2011-03-17",0,3,0,25
0.1343,0.72,0.46,0,6,0,3,1,"2011-09-17",0,9,3,35
0.1642,0.69,0.68,0,0,0,2,2,"2012-05-27",1,5,0,145
0.1045,0.93,0.22,0,3,1,1,3,"2011-02-02",0,2,6,22
0.2239,0.43,0.6,0,2,1,2,1,"2012-04-17",1,4,8,681
0.0896,0.72,0.44,0,6,0,2,1,"2012-05-19",1,5,6,51
0.1045,0.75,0.76,0,5,1,3,1,"2011-07-22",0,7,4,16
0.1045,0.78,0.62,0,3,1,2,1,"2012-05-16",1,5,23,138
0.3284,0.78,0.64,0,1,1,3,1,"2011-08-15",0,8,9,224
0.2239,0.66,0.74,0,0,0,3,1,"2011-07-10",0,7,22,149
0.194,0.44,0.84,0,3,1,3,2,"2012-08-08",1,8,15,284
0,0.83,0.6,0,5,1,2,1,"2011-06-17",0,6,7,255
0,0.75,0.26,0,3,1,4,1,"2011-12-14",0,12,4,4
0.3284,1,0.62,0,4,1,3,3,"2011-09-08",0,9,19,56
0.2537,0.82,0.48,0,1,1,2,1,"2012-03-26",1,3,1,35
0.1642,0.47,0.18,0,0,0,1,1,"2011-01-16",0,1,20,64
0.2239,0.7,0.72,0,6,0,3,1,"2011-08-20",0,8,21,232
0.4627,0.5,0.4,0,5,1,1,1,"2011-12-23",0,12,13,199
0.3284,0.52,0.28,0,4,1,4,1,"2011-12-08",0,12,12,161
0.1642,0.78,0.62,0,2,1,3,1,"2011-06-21",0,6,0,37
0.3881,0.93,0.34,0,3,1,2,3,"2011-05-04",0,5,8,86
0.1642,0.7,0.24,0,6,0,1,2,"2011-02-05",0,2,0,43
0.2537,0.52,0.54,1,5,0,2,1,"2011-04-15",0,4,14,167
0.2836,0.94,0.44,0,0,0,2,2,"2012-03-25",1,3,0,87
0.1343,0.55,0.76,0,5,1,3,1,"2012-06-22",1,6,8,614
0,0.69,0.16,0,2,1,1,2,"2011-02-01",0,2,2,2
0.3284,0.32,0.36,0,3,1,4,1,"2012-11-28",1,11,15,183
0.1343,0.52,0.52,0,3,1,2,1,"2012-04-25",1,4,21,245
0.2537,0.55,0.76,0,3,1,3,1,"2011-07-13",0,7,7,319
0.3284,0.88,0.44,0,2,1,1,3,"2011-12-27",0,12,16,49
0,0.46,0.8,1,1,0,3,1,"2011-07-04",0,7,14,412
0.1343,0.77,0.44,0,2,1,4,1,"2011-10-25",0,10,1,15
0.1343,0.45,0.28,0,6,0,1,1,"2011-12-24",0,12,17,72
0.1343,0.44,0.02,0,3,1,1,1,"2012-01-04",1,1,8,321
0.0896,0.7,0.32,0,6,0,1,2,"2011-12-24",0,12,3,13
0.0896,0.83,0.68,0,6,0,2,1,"2011-06-11",0,6,3,33
0.2985,0.88,0.58,0,1,1,2,3,"2012-05-21",1,5,0,43
0.1343,0.53,0.6,0,1,1,4,1,"2012-12-03",1,12,16,446
0.1642,0.75,0.3,0,6,0,1,2,"2011-12-24",0,12,6,13
0.1045,0.68,0.5,0,0,0,2,2,"2011-05-01",0,5,14,240
0.2836,0.39,0.5,0,4,1,2,1,"2011-05-05",0,5,10,131
0.1343,0.81,0.34,0,4,1,4,1,"2011-11-03",0,11,1,18
0.1642,0.88,0.6,0,6,0,3,3,"2012-07-21",1,7,20,219
0.4478,0.75,0.22,0,4,1,1,2,"2012-02-09",1,2,4,4
0.0896,0.75,0.3,1,2,0,1,1,"2012-12-25",1,12,11,87
0.1343,0.88,0.6,0,3,1,4,2,"2011-10-19",0,10,19,202
0.1045,0.73,0.64,0,6,0,3,1,"2011-08-13",0,8,5,22
0.0896,0.87,0.3,0,0,0,4,1,"2012-11-11",1,11,6,22
0.1045,0.78,0.6,0,3,1,2,1,"2012-05-02",1,5,0,51
0.4627,0.59,0.5,0,4,1,2,1,"2012-05-10",1,5,9,364
0.194,0.83,0.62,0,5,1,3,2,"2012-07-20",1,7,22,143
0.0896,0.81,0.32,0,4,1,1,1,"2012-02-16",1,2,23,78
0.4478,0.81,0.32,0,2,1,2,3,"2011-04-05",0,4,11,21
0.0896,0.87,0.24,1,1,0,1,2,"2012-02-20",1,2,1,18
0.3284,0.61,0.62,0,6,0,2,1,"2012-04-21",1,4,11,613
0.2537,0.31,0.6,0,4,1,1,1,"2012-03-01",1,3,15,226
0.3881,0.39,0.7,0,0,0,2,1,"2012-04-15",1,4,15,621
0.1343,1,0.34,0,5,1,1,3,"2011-02-25",0,2,7,40
0.1642,0.89,0.68,0,0,0,3,1,"2012-07-15",1,7,0,194
0,0.87,0.24,0,6,0,1,2,"2012-12-29",1,12,15,130
0.2836,0.49,0.84,0,5,1,3,2,"2012-08-03",1,8,11,266
0.194,0.84,0.72,0,6,0,3,1,"2012-08-04",1,8,1,124
0.2836,0.51,0.74,0,2,1,3,1,"2011-09-13",0,9,13,192
0,0.77,0.46,0,0,0,4,1,"2011-10-23",0,10,19,197
0.1045,0.88,0.48,0,4,1,2,2,"2012-05-10",1,5,2,4
0.0896,0.68,0.58,0,3,1,4,2,"2012-10-24",1,10,23,127
0.0896,0.41,0.68,0,6,0,2,1,"2012-05-19",1,5,20,320
0.0896,0.59,0.82,0,5,1,3,1,"2011-07-22",0,7,21,194
0.1045,0.75,0.3,0,4,1,1,2,"2012-01-26",1,1,5,34
0.2239,0.77,0.48,0,1,1,2,2,"2011-05-02",0,5,8,374
0.194,0.88,0.5,0,6,0,4,2,"2012-10-27",1,10,2,94
0.3881,0.31,0.34,0,1,1,1,1,"2011-03-07",0,3,15,101
0,0.66,0.74,0,5,1,3,2,"2012-06-22",1,6,6,126
0.194,0.89,0.68,0,2,1,3,2,"2012-08-14",1,8,5,37
0.2239,0.52,0.26,0,4,1,4,1,"2011-11-17",0,11,23,61
0.1045,0.8,0.18,0,1,1,1,1,"2012-02-06",1,2,9,281
0.1343,0.66,0.36,0,5,1,4,2,"2012-12-07",1,12,13,224
0.194,0.72,0.5,0,0,0,2,2,"2011-05-01",0,5,16,214
0.1343,0.87,0.3,0,4,1,2,3,"2011-03-31",0,3,13,73
0,0.66,0.78,0,0,0,3,1,"2011-07-24",0,7,22,102
0.0896,0.54,0.44,0,6,0,4,1,"2011-10-22",0,10,18,338
0.1642,0.8,0.16,0,3,1,1,3,"2011-02-09",0,2,22,50
0.2537,0.36,0.34,0,2,1,1,1,"2012-02-28",1,2,11,169
0.1343,0.76,0.34,0,0,0,1,1,"2011-03-13",0,3,3,30
0.1343,0.94,0.54,0,6,0,2,3,"2011-05-14",0,5,20,158
0.194,0.42,0.9,0,3,1,3,1,"2012-07-18",1,7,10,139
0.194,0.87,0.3,0,3,1,1,3,"2012-12-26",1,12,19,43
0.3881,0.65,0.68,0,2,1,2,1,"2011-04-26",0,4,11,177
0.1045,0.76,0.34,1,4,0,4,1,"2011-11-24",0,11,23,27
0.0896,0.58,0.76,0,0,0,2,1,"2011-06-12",0,6,10,316
0,0.82,0.44,0,0,0,2,2,"2011-05-08",0,5,6,9
0.194,0.66,0.32,0,5,1,1,1,"2011-12-30",0,12,11,175
0.194,0.58,0.44,0,4,1,1,1,"2011-03-17",0,3,19,212
0.2836,0.7,0.32,0,4,1,4,2,"2011-12-15",0,12,5,31
0.1642,0.81,0.26,0,6,0,1,2,"2012-02-11",1,2,12,226
0.2537,0.53,0.6,0,2,1,2,1,"2012-04-17",1,4,5,31
0.194,0.57,0.62,0,0,0,2,1,"2012-06-17",1,6,20,306
0.1045,1,0.62,0,5,1,4,3,"2011-09-23",0,9,10,35
0.1045,0.78,0.62,0,2,1,2,1,"2012-05-15",1,5,10,175
0.2985,0.66,0.36,0,1,1,4,2,"2012-11-19",1,11,8,668
0.1343,0.61,0.28,0,3,1,4,2,"2012-12-12",1,12,9,288
0.3582,0.43,0.62,0,5,1,4,1,"2011-10-14",0,10,14,158
0,0.81,0.26,0,0,0,4,1,"2011-11-06",0,11,1,120
0.2537,0.57,0.68,0,4,1,3,1,"2012-09-13",1,9,18,854
0.1045,0.65,0.7,0,1,1,3,2,"2011-08-22",0,8,2,12
0.1045,0.73,0.6,0,2,1,4,3,"2011-10-11",0,10,14,171
0.4179,0.63,0.36,0,2,1,2,2,"2011-04-05",0,4,13,63
0,0.67,0.44,0,1,1,4,1,"2012-10-22",1,10,8,731
0,0.65,0.3,1,4,0,4,1,"2012-11-22",1,11,9,127
0.1045,0.94,0.62,0,4,1,3,3,"2011-09-08",0,9,7,181
0.1343,0.53,0.6,0,2,1,2,2,"2011-04-12",0,4,2,17
0.194,0.65,0.62,0,4,1,2,2,"2011-06-16",0,6,9,265
0.3284,0.36,0.52,0,5,1,2,1,"2012-05-11",1,5,10,213
0.2836,0.88,0.5,0,2,1,4,1,"2011-11-29",0,11,5,26
0.1343,0.49,0.3,0,5,1,1,2,"2012-12-28",1,12,13,227
0.194,0.59,0.52,0,1,1,2,2,"2012-04-30",1,4,21,224
0.2836,0.29,0.52,0,0,0,1,1,"2012-03-11",1,3,18,393
0.1642,0.65,0.7,0,2,1,3,2,"2011-07-05",0,7,0,62
0.2239,0.82,0.5,0,6,0,2,1,"2012-04-21",1,4,3,31
0.2537,0.33,0.92,0,4,1,3,1,"2012-07-05",1,7,16,438
0.2836,1,0.26,0,1,1,1,2,"2012-01-23",1,1,22,74
0.1045,0.4,0.4,0,5,1,4,2,"2012-11-30",1,11,14,254
0.1343,0.54,0.66,0,4,1,3,1,"2011-08-11",0,8,2,17
0.2836,0.56,0.58,0,2,1,4,1,"2011-10-04",0,10,15,197
0.1343,0.93,0.32,0,2,1,1,2,"2012-01-24",1,1,8,495
0.1045,0.6,0.26,0,0,0,1,1,"2012-01-08",1,1,22,64
0,0.81,0.3,0,5,1,4,1,"2011-12-09",0,12,20,152
0.1343,0.53,0.84,0,0,0,3,1,"2012-07-08",1,7,8,136
0.1045,0.63,0.46,0,5,1,2,1,"2011-04-29",0,4,2,12
0.2537,0.83,0.52,0,3,1,4,3,"2011-10-19",0,10,6,36
0.1343,0.84,0.7,0,1,1,3,1,"2012-07-23",1,7,7,425
0.1045,0.86,0.16,0,1,1,1,1,"2012-02-06",1,2,7,236
0.4925,0.38,0.24,0,2,1,1,1,"2011-02-08",0,2,12,66
