"VelocidadViento","Humedad","Temperatura","DiaFestivo","DiaSemana","DiaNoLaborable","Estacion","Clima","Fecha","Año","Mes","Hora","Total"
0.2239,0.55,0.18,0,3,1,1,1,"2011-01-12",0,1,10,39
0.2985,0.5,0.14,0,4,1,1,1,"2011-01-13",0,1,5,5
0.1343,0.54,0.12,0,4,1,1,1,"2011-01-13",0,1,6,34
0.1343,0.54,0.12,0,4,1,1,1,"2011-01-13",0,1,7,74
0.194,0.5,0.14,0,4,1,1,1,"2011-01-13",0,1,8,205
0.2537,0.44,0.2,0,5,1,1,1,"2011-01-14",0,1,12,69
0.1642,0.38,0.24,0,5,1,1,1,"2011-01-14",0,1,15,74
0.1045,0.41,0.22,0,5,1,1,1,"2011-01-14",0,1,16,95
0.1642,0.41,0.22,0,5,1,1,1,"2011-01-14",0,1,17,160
0,0.59,0.16,0,6,0,1,2,"2011-01-15",0,1,4,11
0,0.59,0.16,0,6,0,1,1,"2011-01-15",0,1,5,5
0.1642,0.59,0.18,0,6,0,1,1,"2011-01-15",0,1,10,61
0.2239,0.55,0.2,0,6,0,1,1,"2011-01-15",0,1,11,75
0.194,0.34,0.34,0,6,0,1,2,"2011-01-15",0,1,16,133
0.0896,0.56,0.26,0,0,0,1,1,"2011-01-16",0,1,2,21
0.2985,0.56,0.24,0,0,0,1,2,"2011-01-16",0,1,7,10
0.2836,0.51,0.22,0,0,0,1,1,"2011-01-16",0,1,10,82
0.2836,0.41,0.24,0,0,0,1,1,"2011-01-16",0,1,12,105
0.2239,0.38,0.24,0,0,0,1,1,"2011-01-16",0,1,16,103
0.2537,0.43,0.18,1,1,0,1,2,"2011-01-17",0,1,2,16
0.1343,0.5,0.16,1,1,0,1,2,"2011-01-17",0,1,7,18
0.1045,0.43,0.18,1,1,0,1,2,"2011-01-17",0,1,14,88
0.1642,0.47,0.2,1,1,0,1,2,"2011-01-17",0,1,15,98
0.194,0.59,0.18,1,1,0,1,3,"2011-01-17",0,1,19,65
0.3284,0.86,0.2,0,2,1,1,2,"2011-01-18",0,1,12,10
0.1642,0.8,0.22,0,2,1,1,2,"2011-01-18",0,1,18,137
0.1343,0.93,0.22,0,3,1,1,3,"2011-01-19",0,1,4,8
0.0896,0.93,0.22,0,3,1,1,2,"2011-01-19",0,1,5,7
0.1343,0.93,0.26,0,3,1,1,2,"2011-01-19",0,1,10,52
0.3284,0.57,0.36,0,3,1,1,1,"2011-01-19",0,1,17,200
0.2836,0.61,0.34,0,3,1,1,1,"2011-01-19",0,1,18,165
0.2239,0.6,0.22,0,4,1,1,1,"2011-01-20",0,1,6,39
0.2239,0.52,0.24,0,4,1,1,2,"2011-01-20",0,1,9,149
0.1343,0.45,0.3,0,4,1,1,2,"2011-01-20",0,1,14,87
0.2836,0.6,0.26,0,4,1,1,2,"2011-01-20",0,1,20,129
0.5224,0.25,0.2,0,5,1,1,1,"2011-01-21",0,1,14,67
0.2239,0.44,0.02,0,6,0,1,2,"2011-01-22",0,1,6,7
0,0.35,0.08,0,6,0,1,1,"2011-01-22",0,1,13,88
0.194,0.35,0.08,0,6,0,1,1,"2011-01-22",0,1,18,59
0.3284,0.26,0.16,0,0,0,1,1,"2011-01-23",0,1,16,67
0.2836,0.3,0.12,0,0,0,1,1,"2011-01-23",0,1,19,55
0.194,0.41,0.06,0,1,1,1,1,"2011-01-24",0,1,0,13
0.1343,0.46,0.1,0,1,1,1,1,"2011-01-24",0,1,11,51
0.2239,0.46,0.14,0,1,1,1,2,"2011-01-24",0,1,14,48
0.1642,0.4,0.16,0,1,1,1,1,"2011-01-24",0,1,15,62
0.194,0.59,0.14,0,1,1,1,1,"2011-01-24",0,1,20,83
0.1642,0.69,0.16,0,2,1,1,2,"2011-01-25",0,1,1,8
0.1045,0.6,0.22,0,2,1,1,2,"2011-01-25",0,1,10,61
0.1343,0.6,0.24,0,2,1,1,2,"2011-01-25",0,1,11,64
0.1343,0.65,0.24,0,3,1,1,2,"2011-01-26",0,1,1,6
0.2985,0.87,0.22,0,3,1,1,3,"2011-01-26",0,1,7,35
0.3284,0.93,0.22,0,3,1,1,3,"2011-01-26",0,1,11,46
0.3284,0.93,0.22,0,3,1,1,3,"2011-01-26",0,1,12,54
0.3582,0.93,0.22,0,3,1,1,3,"2011-01-26",0,1,14,40
0.3582,0.93,0.2,0,3,1,1,3,"2011-01-26",0,1,17,31
0.1045,0.8,0.18,0,5,1,1,2,"2011-01-28",0,1,5,6
0.0896,0.86,0.16,0,5,1,1,2,"2011-01-28",0,1,8,162
0.1045,0.93,0.18,0,5,1,1,3,"2011-01-28",0,1,13,39
0.3582,0.64,0.22,0,6,0,1,1,"2011-01-29",0,1,0,30
0.1642,0.64,0.22,0,6,0,1,1,"2011-01-29",0,1,2,18
0.1045,0.59,0.16,0,6,0,1,1,"2011-01-29",0,1,7,8
0.1642,0.55,0.18,0,6,0,1,1,"2011-01-29",0,1,8,35
0.1045,0.64,0.18,0,6,0,1,2,"2011-01-29",0,1,10,57
0.1642,0.55,0.22,0,6,0,1,2,"2011-01-29",0,1,13,71
0.1343,0.6,0.22,0,6,0,1,2,"2011-01-29",0,1,14,106
0.0896,0.74,0.18,0,6,0,1,1,"2011-01-29",0,1,21,39
0.0896,0.8,0.16,0,6,0,1,1,"2011-01-29",0,1,22,36
0.0896,0.8,0.16,0,6,0,1,1,"2011-01-29",0,1,23,35
0,0.93,0.14,0,0,0,1,1,"2011-01-30",0,1,4,4
0.1045,0.61,0.28,0,0,0,1,1,"2011-01-30",0,1,13,91
0.0896,0.61,0.28,0,0,0,1,1,"2011-01-30",0,1,14,124
0,0.56,0.3,0,0,0,1,1,"2011-01-30",0,1,16,129
0.194,0.56,0.3,0,0,0,1,1,"2011-01-30",0,1,17,81
0.194,0.7,0.24,0,0,0,1,2,"2011-01-30",0,1,22,22
0.194,0.64,0.22,0,1,1,1,1,"2011-01-31",0,1,2,3
0.3284,0.69,0.16,0,1,1,1,1,"2011-01-31",0,1,6,43
0.2836,0.59,0.16,0,1,1,1,2,"2011-01-31",0,1,8,187
0.194,0.59,0.16,0,1,1,1,2,"2011-01-31",0,1,11,49
0,0.93,0.16,0,2,1,1,2,"2011-02-01",0,2,10,48
0,0.86,0.18,0,2,1,1,2,"2011-02-01",0,2,11,59
0,0.86,0.2,0,2,1,1,2,"2011-02-01",0,2,12,60
0.1343,0.87,0.22,0,2,1,1,2,"2011-02-01",0,2,21,70
0.0896,0.87,0.22,0,2,1,1,2,"2011-02-01",0,2,22,41
0.1642,0.93,0.34,0,3,1,1,1,"2011-02-02",0,2,13,78
0.5522,0.42,0.34,0,3,1,1,1,"2011-02-02",0,2,18,186
0.2537,0.44,0.22,0,3,1,1,1,"2011-02-02",0,2,22,47
0.4478,0.4,0.2,0,4,1,1,1,"2011-02-03",0,2,0,15
0.3582,0.43,0.16,0,4,1,1,1,"2011-02-03",0,2,6,42
0.3284,0.5,0.14,0,4,1,1,1,"2011-02-03",0,2,7,91
0.3582,0.5,0.14,0,4,1,1,1,"2011-02-03",0,2,8,191
0.3284,0.37,0.22,0,4,1,1,1,"2011-02-03",0,2,15,63
0.2537,0.48,0.28,0,5,1,1,2,"2011-02-04",0,2,15,92
0.1343,0.93,0.22,0,6,0,1,3,"2011-02-05",0,2,4,13
0,1,0.2,0,6,0,1,3,"2011-02-05",0,2,6,7
0.1343,1,0.2,0,6,0,1,3,"2011-02-05",0,2,10,34
0,1,0.22,0,6,0,1,3,"2011-02-05",0,2,14,61
0.1343,1,0.22,0,6,0,1,3,"2011-02-05",0,2,16,76
0.1642,0.65,0.24,0,0,0,1,1,"2011-02-06",0,2,7,9
0,0.65,0.24,0,1,1,1,1,"2011-02-07",0,2,0,20
0,0.75,0.22,0,1,1,1,1,"2011-02-07",0,2,1,9
0,0.86,0.2,0,1,1,1,1,"2011-02-07",0,2,4,7
0,0.86,0.18,0,1,1,1,1,"2011-02-07",0,2,7,102
0,1,0.16,0,1,1,1,2,"2011-02-07",0,2,8,233
0.0896,0.57,0.36,0,1,1,1,2,"2011-02-07",0,2,14,62
0.3284,0.7,0.26,0,2,1,1,1,"2011-02-08",0,2,6,47
0.3881,0.35,0.22,0,2,1,1,1,"2011-02-08",0,2,15,58
0.4627,0.4,0.16,0,2,1,1,1,"2011-02-08",0,2,19,106
0.1343,0.45,0.06,0,3,1,1,1,"2011-02-09",0,2,3,3
0.1642,0.39,0.12,0,3,1,1,1,"2011-02-09",0,2,9,129
0.2985,0.34,0.2,0,3,1,1,1,"2011-02-09",0,2,14,60
0.1642,0.86,0.14,0,3,1,1,2,"2011-02-09",0,2,21,90
0.194,0.8,0.16,0,3,1,1,3,"2011-02-09",0,2,23,44
0.1343,0.8,0.14,0,4,1,1,3,"2011-02-10",0,2,2,10
0.1045,0.28,0.14,0,4,1,1,1,"2011-02-10",0,2,19,115
0.1642,0.74,0.1,0,5,1,1,1,"2011-02-11",0,2,8,219
0,0.24,0.3,0,5,1,1,1,"2011-02-11",0,2,17,214
0.1343,0.59,0.2,0,5,1,1,1,"2011-02-11",0,2,21,52
0.0896,0.74,0.12,0,6,0,1,1,"2011-02-12",0,2,4,12
0.3284,0.38,0.28,0,6,0,1,1,"2011-02-12",0,2,18,69
0.1343,0.51,0.22,0,6,0,1,1,"2011-02-12",0,2,23,37
0.1045,0.69,0.2,0,0,0,1,2,"2011-02-13",0,2,3,18
0.1642,0.69,0.2,0,0,0,1,2,"2011-02-13",0,2,4,6
0.1343,0.69,0.2,0,0,0,1,2,"2011-02-13",0,2,6,13
0.2239,0.6,0.24,0,0,0,1,2,"2011-02-13",0,2,9,52
0.4478,0.39,0.32,0,0,0,1,1,"2011-02-13",0,2,11,119
0.2836,0.53,0.32,0,1,1,1,1,"2011-02-14",0,2,4,7
0.2836,0.53,0.32,0,1,1,1,1,"2011-02-14",0,2,5,5
0.4179,0.49,0.3,0,2,1,1,1,"2011-02-15",0,2,0,25
0.5224,0.37,0.22,0,2,1,1,1,"2011-02-15",0,2,4,5
0.1343,0.22,0.3,0,2,1,1,1,"2011-02-15",0,2,18,219
0,0.44,0.24,0,2,1,1,1,"2011-02-15",0,2,22,44
0.2239,0.55,0.2,0,3,1,1,2,"2011-02-16",0,2,7,113
0.0896,0.66,0.32,0,4,1,1,1,"2011-02-17",0,2,5,14
0.2537,0.44,0.44,0,4,1,1,2,"2011-02-17",0,2,11,91
0.2239,0.41,0.48,0,4,1,1,1,"2011-02-17",0,2,12,105
0.2239,0.34,0.54,0,4,1,1,1,"2011-02-17",0,2,13,127
0.2239,0.31,0.6,0,4,1,1,1,"2011-02-17",0,2,14,85
0.2537,0.28,0.6,0,4,1,1,1,"2011-02-17",0,2,15,110
0.2537,0.67,0.46,0,5,1,1,1,"2011-02-18",0,2,4,4
0.2239,0.72,0.44,0,5,1,1,2,"2011-02-18",0,2,10,98
0.1642,0.72,0.44,0,5,1,1,1,"2011-02-18",0,2,11,118
0.5821,0.29,0.62,0,5,1,1,1,"2011-02-18",0,2,19,167
0.2537,0.1,0.54,0,5,1,1,1,"2011-02-18",0,2,22,112
0.3284,0.15,0.4,0,6,0,1,1,"2011-02-19",0,2,4,9
0.6567,0.15,0.46,0,6,0,1,1,"2011-02-19",0,2,14,199
0.6119,0.19,0.42,0,6,0,1,1,"2011-02-19",0,2,17,133
0.4478,0.25,0.36,0,6,0,1,1,"2011-02-19",0,2,18,93
0.194,0.41,0.26,0,0,0,1,2,"2011-02-20",0,2,10,108
0.1045,0.33,0.3,0,0,0,1,1,"2011-02-20",0,2,12,183
0.0896,0.29,0.36,0,0,0,1,1,"2011-02-20",0,2,16,147
0.2239,0.57,0.32,0,0,0,1,2,"2011-02-20",0,2,22,52
0.2985,0.26,0.42,1,1,0,1,2,"2011-02-21",0,2,6,9
0.3284,0.81,0.3,1,1,0,1,3,"2011-02-21",0,2,13,110
0.1642,0.55,0.22,0,2,1,1,1,"2011-02-22",0,2,13,59
0.2239,0.47,0.2,0,2,1,1,1,"2011-02-22",0,2,20,111
0.2537,0.43,0.16,0,2,1,1,1,"2011-02-22",0,2,22,82
0.1642,0.46,0.14,0,3,1,1,1,"2011-02-23",0,2,1,7
0,0.4,0.2,0,3,1,1,1,"2011-02-23",0,2,10,53
0.0896,0.28,0.3,0,3,1,1,1,"2011-02-23",0,2,13,94
0,0.48,0.24,0,3,1,1,1,"2011-02-23",0,2,22,61
0.2985,0.75,0.24,0,4,1,1,2,"2011-02-24",0,2,9,145
0.3582,0.53,0.36,0,4,1,1,2,"2011-02-24",0,2,12,102
0.194,0.66,0.36,0,4,1,1,3,"2011-02-24",0,2,17,180
0.2239,0.93,0.32,0,4,1,1,2,"2011-02-24",0,2,23,54
0.4627,0.49,0.32,0,5,1,1,1,"2011-02-25",0,2,16,107
0.4478,0.52,0.3,0,5,1,1,1,"2011-02-25",0,2,19,96
0.4478,0.48,0.26,0,5,1,1,1,"2011-02-25",0,2,22,50
0.194,0.46,0.34,0,6,0,1,1,"2011-02-26",0,2,18,142
0.1642,0.56,0.3,0,6,0,1,1,"2011-02-26",0,2,20,72
0.194,0.87,0.26,0,0,0,1,1,"2011-02-27",0,2,1,40
0,0.87,0.24,0,0,0,1,1,"2011-02-27",0,2,6,5
0.1343,0.62,0.36,0,0,0,1,1,"2011-02-27",0,2,11,128
0.194,0.54,0.4,0,0,0,1,1,"2011-02-27",0,2,18,130
0.1343,0.54,0.4,0,0,0,1,1,"2011-02-27",0,2,19,107
0.2985,1,0.42,0,1,1,1,3,"2011-02-28",0,2,15,40
0.3582,0.7,0.26,0,2,1,1,1,"2011-03-01",0,3,1,6
0.2239,0.65,0.24,0,2,1,1,1,"2011-03-01",0,3,23,30
0.194,0.43,0.4,0,3,1,1,1,"2011-03-02",0,3,12,85
0,0.25,0.5,0,3,1,1,1,"2011-03-02",0,3,13,133
0.2985,0.33,0.14,0,4,1,1,1,"2011-03-03",0,3,6,39
0.4179,0.42,0.12,0,4,1,1,1,"2011-03-03",0,3,7,115
0.1343,0.25,0.22,0,4,1,1,1,"2011-03-03",0,3,12,76
0.3284,0.35,0.24,0,4,1,1,1,"2011-03-03",0,3,18,175
0.2537,0.4,0.2,0,4,1,1,1,"2011-03-03",0,3,19,109
0.2537,0.74,0.18,0,5,1,1,2,"2011-03-04",0,3,3,4
0.2985,0.4,0.36,0,5,1,1,1,"2011-03-04",0,3,15,111
0.2985,1,0.3,0,6,0,1,2,"2011-03-05",0,3,8,48
0.2985,0.63,0.46,0,6,0,1,2,"2011-03-05",0,3,15,207
0.2985,0.59,0.48,0,6,0,1,2,"2011-03-05",0,3,16,206
0.3582,0.88,0.42,0,0,0,1,2,"2011-03-06",0,3,4,8
0.4478,1,0.42,0,0,0,1,3,"2011-03-06",0,3,7,11
0.2985,1,0.4,0,0,0,1,2,"2011-03-06",0,3,8,17
0.4925,1,0.3,0,0,0,1,3,"2011-03-06",0,3,19,14
0.6119,0.93,0.24,0,0,0,1,3,"2011-03-06",0,3,21,13
0.2239,0.31,0.32,0,1,1,1,1,"2011-03-07",0,3,18,236
0.1343,0.52,0.24,0,2,1,1,1,"2011-03-08",0,3,2,4
0,0.23,0.36,0,2,1,1,2,"2011-03-08",0,3,12,101
0.2239,0.49,0.3,0,2,1,1,1,"2011-03-08",0,3,22,57
0.2537,0,0.34,0,4,1,1,3,"2011-03-10",0,3,1,5
0.2239,0,0.42,0,4,1,1,3,"2011-03-10",0,3,13,18
0.5821,0,0.44,0,4,1,1,3,"2011-03-10",0,3,19,64
0.0896,0,0.34,0,4,1,1,3,"2011-03-10",0,3,23,34
0.0896,1,0.34,0,5,1,1,2,"2011-03-11",0,3,0,12
0.1045,1,0.34,0,5,1,1,3,"2011-03-11",0,3,1,9
0.2537,0.53,0.34,0,5,1,1,2,"2011-03-11",0,3,12,114
0.2537,0.53,0.34,0,5,1,1,2,"2011-03-11",0,3,15,90
0.194,0.69,0.22,0,6,0,1,1,"2011-03-12",0,3,5,7
0.4478,0.41,0.46,0,6,0,1,1,"2011-03-12",0,3,16,249
0.1642,0.54,0.42,0,6,0,1,1,"2011-03-12",0,3,18,149
0,0.71,0.36,0,6,0,1,1,"2011-03-12",0,3,22,68
0.0896,0.66,0.38,0,6,0,1,1,"2011-03-12",0,3,23,54
0.4179,0.41,0.44,0,0,0,1,1,"2011-03-13",0,3,11,182
0.3881,0.38,0.46,0,0,0,1,1,"2011-03-13",0,3,13,222
0.1642,0.37,0.38,0,1,1,1,1,"2011-03-14",0,3,15,104
0.1343,0.43,0.36,0,1,1,1,1,"2011-03-14",0,3,19,155
0,0.53,0.32,0,1,1,1,1,"2011-03-14",0,3,23,23
0.0896,0.62,0.3,0,2,1,1,1,"2011-03-15",0,3,2,11
0.0896,0.7,0.26,0,2,1,1,1,"2011-03-15",0,3,8,288
0.194,0.66,0.32,0,2,1,1,2,"2011-03-15",0,3,10,81
0.2836,0.57,0.36,0,2,1,1,2,"2011-03-15",0,3,13,103
0.2836,0.71,0.34,0,2,1,1,2,"2011-03-15",0,3,19,155
0.2836,0.71,0.34,0,2,1,1,2,"2011-03-15",0,3,20,92
0.1045,0.81,0.32,0,2,1,1,3,"2011-03-15",0,3,21,59
0.2537,0.93,0.3,0,3,1,1,3,"2011-03-16",0,3,0,11
0.1045,0.93,0.3,0,3,1,1,2,"2011-03-16",0,3,5,8
0.2239,0.54,0.44,0,3,1,1,2,"2011-03-16",0,3,18,243
0.1343,0.76,0.32,0,4,1,1,1,"2011-03-17",0,3,7,141
0.194,0.62,0.4,0,5,1,1,1,"2011-03-18",0,3,2,18
0.2537,0.67,0.42,0,5,1,1,1,"2011-03-18",0,3,8,286
0.2537,0.39,0.66,0,5,1,1,1,"2011-03-18",0,3,14,181
0.1045,0.46,0.62,0,5,1,1,1,"2011-03-18",0,3,21,119
0.3284,0.39,0.54,0,6,0,1,2,"2011-03-19",0,3,3,12
0.4179,0.44,0.44,0,6,0,1,1,"2011-03-19",0,3,6,14
0.2836,0.33,0.44,0,6,0,1,1,"2011-03-19",0,3,19,162
0.194,0.6,0.26,0,0,0,1,1,"2011-03-20",0,3,5,13
0.2239,0.6,0.26,0,0,0,1,1,"2011-03-20",0,3,6,11
0.1642,0.56,0.28,0,0,0,1,1,"2011-03-20",0,3,8,37
0.3284,0.71,0.34,0,1,1,2,2,"2011-03-21",0,3,3,2
0.2239,0.64,0.54,0,1,1,2,2,"2011-03-21",0,3,14,104
0.2836,0.64,0.54,0,1,1,2,2,"2011-03-21",0,3,16,142
0.2239,0.72,0.52,0,1,1,2,2,"2011-03-21",0,3,18,279
0.194,0.94,0.46,0,1,1,2,1,"2011-03-21",0,3,21,97
0.0896,0.88,0.46,0,1,1,2,1,"2011-03-21",0,3,23,34
0.3284,0.42,0.5,0,2,1,2,1,"2011-03-22",0,3,14,107
0.2239,0.42,0.5,0,2,1,2,1,"2011-03-22",0,3,15,137
0.1045,0.42,0.5,0,2,1,2,1,"2011-03-22",0,3,17,312
0.2239,0.76,0.34,0,3,1,2,3,"2011-03-23",0,3,2,5
0.2537,0.87,0.34,0,3,1,2,2,"2011-03-23",0,3,6,50
0.2239,0.82,0.38,0,3,1,2,2,"2011-03-23",0,3,15,88
0.2239,0.76,0.4,0,3,1,2,2,"2011-03-23",0,3,16,140
0.1642,0.93,0.32,0,3,1,2,2,"2011-03-23",0,3,22,46
0.194,1,0.28,0,4,1,2,2,"2011-03-24",0,3,3,6
0.3284,0.7,0.3,0,4,1,2,2,"2011-03-24",0,3,12,99
0.2537,0.42,0.32,0,5,1,2,1,"2011-03-25",0,3,12,147
0.2537,0.36,0.34,0,5,1,2,2,"2011-03-25",0,3,15,125
0.2836,0.38,0.26,0,5,1,2,2,"2011-03-25",0,3,23,45
0.2239,0.44,0.22,0,6,0,2,1,"2011-03-26",0,3,4,10
0.194,0.51,0.2,0,6,0,2,1,"2011-03-26",0,3,5,14
0.194,0.55,0.18,0,6,0,2,1,"2011-03-26",0,3,6,15
0.1642,0.21,0.32,0,6,0,2,2,"2011-03-26",0,3,18,157
0.194,0.44,0.26,0,6,0,2,2,"2011-03-26",0,3,21,57
0.1642,0.41,0.26,0,0,0,2,2,"2011-03-27",0,3,0,39
0.2239,0.55,0.22,0,0,0,2,2,"2011-03-27",0,3,10,91
0.194,0.33,0.3,0,0,0,2,1,"2011-03-27",0,3,18,145
0.1642,0.44,0.22,0,1,1,2,1,"2011-03-28",0,3,2,7
0.3284,0.32,0.2,0,1,1,2,1,"2011-03-28",0,3,7,117
0.2239,0.24,0.3,0,1,1,2,2,"2011-03-28",0,3,13,87
0.3284,0.28,0.26,0,2,1,2,1,"2011-03-29",0,3,0,20
0.2985,0.41,0.22,0,2,1,2,1,"2011-03-29",0,3,6,51
0.3582,0.41,0.22,0,2,1,2,1,"2011-03-29",0,3,7,139
0.1642,0.25,0.34,0,2,1,2,1,"2011-03-29",0,3,12,113
0.1343,0.2,0.4,0,2,1,2,1,"2011-03-29",0,3,17,304
0,0.57,0.32,0,3,1,2,2,"2011-03-30",0,3,2,8
0,0.57,0.32,0,3,1,2,2,"2011-03-30",0,3,4,5
0.2537,0.46,0.34,0,3,1,2,2,"2011-03-30",0,3,11,97
0.1642,0.46,0.34,0,3,1,2,2,"2011-03-30",0,3,12,82
0.2836,0.93,0.24,0,3,1,2,3,"2011-03-30",0,3,23,19
0.2239,0.93,0.24,0,4,1,2,3,"2011-03-31",0,3,0,9
0.2537,0.93,0.24,0,4,1,2,3,"2011-03-31",0,3,4,10
0.2985,0.87,0.3,0,4,1,2,3,"2011-03-31",0,3,15,68
0.3284,0.46,0.34,0,5,1,2,1,"2011-04-01",0,4,17,289
0.1642,0.56,0.3,0,5,1,2,1,"2011-04-01",0,4,22,75
0.1642,0.7,0.24,0,6,0,2,1,"2011-04-02",0,4,3,15
0.1045,0.7,0.26,0,6,0,2,1,"2011-04-02",0,4,6,15
0.1045,0.61,0.3,0,0,0,2,1,"2011-04-03",0,4,1,38
0.2985,0.33,0.44,0,0,0,2,1,"2011-04-03",0,4,13,372
0.194,0.31,0.46,0,0,0,2,2,"2011-04-03",0,4,16,310
0.2836,0.66,0.38,0,1,1,2,1,"2011-04-04",0,4,3,4
0.3881,0.4,0.6,0,1,1,2,1,"2011-04-04",0,4,11,130
0.5522,0.23,0.76,0,1,1,2,1,"2011-04-04",0,4,15,148
0.1045,0.5,0.62,0,2,1,2,1,"2011-04-05",0,4,0,26
0.1343,0.6,0.26,0,3,1,2,1,"2011-04-06",0,4,1,3
0.2537,0.41,0.44,0,3,1,2,1,"2011-04-06",0,4,12,137
0.4179,0.28,0.54,0,3,1,2,1,"2011-04-06",0,4,16,175
0.4478,0.32,0.52,0,3,1,2,1,"2011-04-06",0,4,17,361
0.2836,0.41,0.46,0,3,1,2,1,"2011-04-06",0,4,22,88
0.1045,0.67,0.42,0,4,1,2,2,"2011-04-07",0,4,10,103
0.0896,0.48,0.52,0,4,1,2,2,"2011-04-07",0,4,13,142
0.1642,0.87,0.34,0,5,1,2,3,"2011-04-08",0,4,7,118
0.2836,0.76,0.36,0,5,1,2,3,"2011-04-08",0,4,13,46
0.4179,0.93,0.3,0,5,1,2,3,"2011-04-08",0,4,19,58
0.2537,0.93,0.3,0,5,1,2,2,"2011-04-08",0,4,21,56
0.2985,0.93,0.3,0,5,1,2,2,"2011-04-08",0,4,22,55
0.1343,0.81,0.36,0,6,0,2,2,"2011-04-09",0,4,12,205
0,0.81,0.36,0,6,0,2,2,"2011-04-09",0,4,13,225
0.0896,0.82,0.38,0,6,0,2,2,"2011-04-09",0,4,17,261
0.1642,0.87,0.38,0,6,0,2,2,"2011-04-09",0,4,20,98
0.1343,0.94,0.38,0,0,0,2,2,"2011-04-10",0,4,9,85
0.1045,0.82,0.46,0,0,0,2,1,"2011-04-10",0,4,13,268
0.194,0.72,0.5,0,0,0,2,1,"2011-04-10",0,4,14,287
0.1642,0.72,0.52,0,0,0,2,2,"2011-04-10",0,4,16,293
0.194,0.88,0.44,0,0,0,2,1,"2011-04-10",0,4,21,101
0.2537,0.94,0.44,0,0,0,2,1,"2011-04-10",0,4,22,63
0.2537,0.61,0.66,0,1,1,2,1,"2011-04-11",0,4,21,159
0.1343,0.64,0.56,0,2,1,2,2,"2011-04-12",0,4,4,8
